episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon,episode_length
193,0,2,8,-80,2,0,7,93,0.037816180712869026,100
194,0,2,6,-50,5,0,2,98,0.03762709980930468,100
195,0,2,4,-40,6,0,3,97,0.03743896431025816,100
196,0,2,5,-70,3,0,8,92,0.037251769488706864,100
197,0,4,0,-60,4,0,6,94,0.03706551064126333,100
198,0,5,2,-40,6,0,2,98,0.03688018308805701,100
199,0,4,8,-30,7,0,5,95,0.03669578217261672,100
200,0,7,5,-80,2,0,5,95,0.036512303261753636,100
201,0,2,0,-70,3,0,4,96,0.036329741745444864,100
202,0,5,9,-80,2,0,5,95,0.03614809303671764,100
203,0,4,7,-50,5,0,3,97,0.03596735257153405,100
204,0,6,8,-60,4,0,3,97,0.03578751580867638,100
205,0,1,5,-70,3,0,4,96,0.035608578229633,100
206,0,1,7,-60,4,0,4,96,0.035430535338484836,100
207,0,8,5,-70,3,0,5,95,0.03525338266179241,100
208,0,9,5,-10,9,0,3,97,0.03507711574848345,100
209,0,9,2,-40,6,0,3,97,0.03490173016974103,100
210,0,8,4,0,10,0,8,92,0.03472722151889233,100
211,0,6,7,-80,2,0,3,97,0.03455358541129787,100
212,0,2,5,-70,3,0,3,97,0.03438081748424138,100
213,0,5,5,-40,6,0,2,98,0.03420891339682017,100
214,0,1,6,-50,5,0,4,96,0.03403786882983607,100
215,0,9,1,-60,4,0,5,95,0.033867679485686884,100
216,0,7,5,-30,7,0,3,97,0.03369834108825845,100
217,0,9,0,-50,5,0,5,95,0.03352984938281715,100
218,0,3,7,-70,3,0,3,97,0.03336220013590307,100
219,0,2,5,-40,6,0,3,97,0.03319538913522355,100
220,0,1,2,-40,6,0,3,97,0.033029412189547434,100
221,0,5,7,-80,2,0,1,99,0.0328642651285997,100
222,0,2,6,-50,5,0,0,100,0.032699943802956696,100
223,0,7,4,-40,6,0,2,98,0.032536444083941914,100
224,0,2,6,-70,3,0,6,94,0.032373761863522206,100
225,0,6,5,-30,7,0,5,95,0.0322118930542046,100
226,0,4,1,-60,4,0,1,99,0.032050833588933576,100
227,0,1,4,-50,5,0,3,97,0.031890579420988906,100
228,0,2,2,-40,6,0,3,97,0.03173112652388396,100
229,0,1,8,-50,5,0,6,94,0.03157247089126454,100
230,0,4,5,-60,4,0,0,100,0.03141460853680822,100
231,0,6,7,-60,4,0,5,95,0.031257535494124175,100
232,0,1,4,-60,4,0,2,98,0.031101247816653552,100
233,0,6,0,-40,6,0,1,99,0.030945741577570286,100
234,0,3,8,-60,4,0,3,97,0.030791012869682433,100
235,0,1,4,-80,2,0,6,94,0.03063705780533402,100
236,0,2,5,-50,5,0,6,94,0.03048387251630735,100
237,0,0,2,-50,5,0,1,99,0.03033145315372581,100
238,0,9,5,-30,7,0,2,98,0.030179795887957182,100
239,0,8,0,-40,6,0,1,99,0.030028896908517396,100
240,0,5,0,-50,5,0,3,97,0.029878752423974808,100
241,0,3,1,-60,4,0,5,95,0.029729358661854933,100
242,0,1,2,-70,3,0,2,98,0.029580711868545658,100
243,0,7,2,-50,5,0,2,98,0.02943280830920293,100
244,0,9,0,-70,3,0,4,96,0.029285644267656914,100
245,0,0,2,-70,3,0,2,98,0.02913921604631863,100
246,0,5,8,-50,5,0,1,99,0.028993519966087036,100
247,0,1,0,-50,5,0,4,96,0.0288485523662566,100
248,0,5,6,-30,7,0,1,99,0.028704309604425316,100
249,0,4,7,-70,3,0,3,97,0.028560788056403188,100
250,0,4,4,-90,1,0,2,98,0.028417984116121172,100
251,0,2,8,-30,7,0,4,96,0.028275894195540566,100
252,0,4,8,-70,3,0,1,99,0.028134514724562864,100
253,0,4,9,-50,5,0,1,99,0.02799384215094005,100
254,0,6,6,-40,6,0,2,98,0.027853872940185348,100
255,0,0,3,-60,4,0,5,95,0.02771460357548442,100
256,0,4,7,-70,3,0,2,98,0.027576030557607,100
257,0,1,3,-70,3,0,4,96,0.027438150404818965,100
258,0,6,9,-90,1,0,4,96,0.02730095965279487,100
259,0,5,9,-50,5,0,3,97,0.027164454854530895,100
260,0,7,1,-50,5,0,2,98,0.02702863258025824,100
261,0,8,8,-70,3,0,3,97,0.02689348941735695,100
262,0,9,1,-60,4,0,3,97,0.026759021970270167,100
263,0,5,0,-70,3,0,1,99,0.026625226860418818,100
264,0,3,5,-70,3,0,4,96,0.026492100726116723,100
265,0,2,7,-80,2,0,1,99,0.02635964022248614,100
266,0,0,1,-40,6,0,2,98,0.02622784202137371,100
267,0,7,9,-70,3,0,2,98,0.02609670281126684,100
268,0,1,9,-80,2,0,1,99,0.02596621929721051,100
269,0,5,5,-70,3,0,0,100,0.025836388200724456,100
270,0,2,8,-50,5,0,6,94,0.025707206259720835,100
271,0,1,9,-70,3,0,2,98,0.02557867022842223,100
272,0,2,7,-20,8,0,2,98,0.025450776877280118,100
273,0,5,5,-70,3,0,2,98,0.025323522992893716,100
274,0,9,0,-50,5,0,3,97,0.02519690537792925,100
275,0,1,7,-70,3,0,2,98,0.025070920851039603,100
276,0,5,7,-90,1,0,2,98,0.024945566246784404,100
277,0,7,5,-60,4,0,6,94,0.02482083841555048,100
278,0,2,6,-60,4,0,4,96,0.024696734223472728,100
279,0,6,9,-80,2,0,3,97,0.024573250552355364,100
280,0,9,9,-10,9,0,1,99,0.024450384299593588,100
281,0,8,4,-50,5,0,5,95,0.02432813237809562,100
282,0,3,4,-60,4,0,2,98,0.02420649171620514,100
283,0,4,0,-40,6,0,3,97,0.024085459257624113,100
284,0,1,9,-70,3,0,0,100,0.02396503196133599,100
285,0,8,2,-70,3,0,0,100,0.023845206801529312,100
286,0,4,4,-60,4,0,1,99,0.023725980767521665,100
287,0,9,4,10,11,0,3,97,0.023607350863684057,100
288,0,1,0,-80,2,0,5,95,0.02348931410936564,100
289,0,2,3,-20,8,0,2,98,0.02337186753881881,100
290,0,6,1,-10,9,0,2,98,0.023255008201124715,100
291,0,6,4,-60,4,0,4,96,0.02313873316011909,100
292,0,3,1,-50,5,0,2,98,0.023023039494318494,100
293,0,0,5,-50,5,0,3,97,0.0229079242968469,100
294,0,4,3,-100,0,0,2,98,0.022793384675362665,100
295,0,4,9,-70,3,0,0,100,0.022679417751985852,100
296,0,8,1,-30,7,0,2,98,0.022566020663225925,100
297,0,1,2,-30,7,0,5,95,0.022453190559909793,100
298,0,4,3,-40,6,0,3,97,0.022340924607110246,100
299,0,1,2,40,14,0,2,98,0.022229219984074695,100
300,0,3,7,-50,5,0,2,98,0.02211807388415432,100
301,0,3,5,-80,2,0,2,98,0.02200748351473355,100
302,0,3,4,-60,4,0,4,96,0.021897446097159882,100
303,0,1,6,-60,4,0,0,100,0.021787958866674083,100
304,0,3,8,-70,3,0,0,100,0.021679019072340714,100
305,0,1,2,-60,4,0,2,98,0.02157062397697901,100
306,0,1,6,-70,3,0,1,99,0.021462770857094114,100
307,0,1,4,-80,2,0,3,97,0.021355457002808644,100
308,0,2,1,0,10,0,1,99,0.0212486797177946,100
309,0,7,7,-40,6,0,0,100,0.021142436319205628,100
310,0,7,3,-60,4,0,1,99,0.0210367241376096,100
311,0,8,8,-40,6,0,0,100,0.020931540516921553,100
312,0,2,1,-50,5,0,3,97,0.020826882814336947,100
313,0,7,7,-30,7,0,2,98,0.02072274840026526,100
314,0,5,1,-60,4,0,1,99,0.020619134658263934,100
315,0,0,1,-60,4,0,0,100,0.020516038984972614,100
316,0,4,3,-60,4,0,2,98,0.020413458790047752,100
317,0,0,6,-70,3,0,3,97,0.020311391496097512,100
318,0,4,8,-80,2,0,3,97,0.020209834538617025,100
319,0,6,4,-50,5,0,1,99,0.02010878536592394,100
320,0,4,3,-30,7,0,0,100,0.020008241439094323,100
321,0,2,4,-40,6,0,3,97,0.01990820023189885,100
322,0,7,2,-40,6,0,2,98,0.019808659230739357,100
323,0,5,3,0,10,0,1,99,0.019709615934585662,100
324,0,9,8,-60,4,0,3,97,0.019611067854912734,100
325,0,6,1,-50,5,0,2,98,0.01951301251563817,100
326,0,0,1,-40,6,0,2,98,0.01941544745305998,100
327,0,0,8,-40,6,0,1,99,0.019318370215794682,100
328,0,4,0,-10,9,0,1,99,0.019221778364715707,100
329,0,2,3,-80,2,0,2,98,0.01912566947289213,100
330,0,3,1,-40,6,0,1,99,0.01903004112552767,100
331,0,5,1,-70,3,0,2,98,0.01893489091990003,100
332,0,8,7,-90,1,0,0,100,0.01884021646530053,100
333,0,3,1,-50,5,0,1,99,0.01874601538297403,100
334,0,8,5,-60,4,0,2,98,0.01865228530605916,100
335,0,1,0,-10,9,0,1,99,0.018559023879528864,100
336,0,9,3,-60,4,0,3,97,0.01846622876013122,100
337,0,3,6,-80,2,0,3,97,0.018373897616330563,100
338,0,7,8,-50,5,0,4,96,0.01828202812824891,100
339,0,5,1,-60,4,0,2,98,0.018190617987607665,100
340,0,8,9,-60,4,0,1,99,0.018099664897669628,100
341,0,8,3,-20,8,0,2,98,0.01800916657318128,100
342,0,9,3,-50,5,0,0,100,0.017919120740315375,100
343,0,4,4,-60,4,0,0,100,0.0178295251366138,100
344,0,1,9,-50,5,0,2,98,0.01774037751093073,100
345,0,4,3,-70,3,0,2,98,0.017651675623376075,100
346,0,5,6,-60,4,0,4,96,0.017563417245259196,100
347,0,1,7,-30,7,0,4,96,0.0174756001590329,100
348,0,8,6,-70,3,0,0,100,0.017388222158237734,100
349,0,9,6,-50,5,0,4,96,0.017301281047446545,100
350,0,9,2,-60,4,0,2,98,0.017214774642209312,100
351,0,4,5,-70,3,0,1,99,0.017128700768998265,100
352,0,3,3,-60,4,0,1,99,0.017043057265153275,100
353,0,5,1,-80,2,0,1,99,0.01695784197882751,100
354,0,6,9,-10,9,0,0,100,0.01687305276893337,100
355,0,9,4,-70,3,0,2,98,0.016788687505088704,100
356,0,8,2,-70,3,0,0,100,0.01670474406756326,100
357,0,1,3,-70,3,0,0,100,0.016621220347225445,100
358,0,7,2,-70,3,0,1,99,0.01653811424548932,100
359,0,6,5,-60,4,0,5,95,0.016455423674261872,100
360,0,1,5,-60,4,0,2,98,0.016373146555890564,100
361,0,5,7,-40,6,0,0,100,0.016291280823111112,100
362,0,1,4,-60,4,0,1,99,0.016209824418995558,100
363,0,9,4,-50,5,0,1,99,0.016128775296900582,100
364,0,6,4,-60,4,0,1,99,0.01604813142041608,100
365,0,3,2,-80,2,0,0,100,0.015967890763314,100
366,0,5,1,-60,4,0,1,99,0.01588805130949743,100
367,0,1,1,-60,4,0,1,99,0.015808611052949943,100
368,0,4,5,-50,5,0,0,100,0.015729567997685195,100
369,0,5,0,-50,5,0,3,97,0.015650920157696768,100
370,0,2,4,-30,7,0,1,99,0.015572665556908283,100
371,0,5,7,-20,8,0,3,97,0.015494802229123741,100
372,0,9,2,-70,3,0,3,97,0.015417328217978123,100
373,0,2,9,-70,3,0,1,99,0.015340241576888233,100
374,0,6,0,-50,5,0,1,99,0.015263540369003792,100
375,0,7,0,-70,3,0,1,99,0.015187222667158773,100
376,0,7,8,-80,2,0,1,99,0.015111286553822979,100
377,0,7,3,-10,9,0,0,100,0.015035730121053864,100
378,0,7,9,-90,1,0,0,100,0.014960551470448594,100
379,0,8,6,-10,9,0,6,94,0.014885748713096352,100
380,0,8,5,-90,1,0,4,96,0.01481131996953087,100
381,0,4,0,-80,2,0,1,99,0.014737263369683217,100
382,0,5,4,-60,4,0,0,100,0.014663577052834801,100
383,0,7,5,-40,6,0,2,98,0.014590259167570627,100
384,0,7,2,-30,7,0,4,96,0.014517307871732775,100
385,0,4,1,-80,2,0,4,96,0.014444721332374112,100
386,0,9,5,-80,2,0,1,99,0.014372497725712242,100
387,0,8,2,-50,5,0,2,98,0.01430063523708368,100
388,0,2,2,-60,4,0,1,99,0.01422913206089826,100
389,0,4,5,-60,4,0,2,98,0.014157986400593769,100
390,0,4,5,-80,2,0,2,98,0.0140871964685908,100
391,0,0,6,-50,5,0,3,97,0.014016760486247845,100
392,0,5,8,-60,4,0,0,100,0.013946676683816606,100
393,0,5,1,-70,3,0,1,99,0.013876943300397522,100
394,0,8,5,-30,7,0,1,99,0.013807558583895534,100
395,0,1,8,-50,5,0,0,100,0.013738520790976056,100
396,0,8,4,0,10,0,0,100,0.013669828187021177,100
397,0,7,6,-80,2,0,1,99,0.01360147904608607,100
398,0,8,3,-40,6,0,2,98,0.01353347165085564,100
399,0,0,6,-40,6,0,1,99,0.013465804292601361,100
400,0,6,4,-90,1,0,2,98,0.013398475271138355,100
401,0,1,6,-70,3,0,0,100,0.013331482894782663,100
402,0,7,1,-60,4,0,1,99,0.01326482548030875,100
403,0,6,3,-60,4,0,2,98,0.013198501352907207,100
404,0,1,3,-70,3,0,3,97,0.013132508846142671,100
405,0,5,2,-50,5,0,3,97,0.013066846301911957,100
406,0,8,8,-40,6,0,4,96,0.013001512070402397,100
407,0,2,0,-40,6,0,0,100,0.012936504510050385,100
408,0,1,9,-60,4,0,1,99,0.012871821987500134,100
409,0,0,5,-80,2,0,0,100,0.012807462877562634,100
410,0,6,3,-30,7,0,1,99,0.01274342556317482,100
411,0,7,5,-70,3,0,3,97,0.012679708435358946,100
412,0,7,2,-60,4,0,1,99,0.012616309893182152,100
413,0,8,1,-50,5,0,1,99,0.01255322834371624,100
414,0,8,2,-90,1,0,0,100,0.012490462201997659,100
415,0,4,9,-50,5,0,1,99,0.012428009890987671,100
416,0,5,7,-10,9,0,4,96,0.012365869841532732,100
417,0,2,4,-60,4,0,2,98,0.012304040492325068,100
418,0,0,3,-80,2,0,1,99,0.012242520289863442,100
419,0,6,2,-70,3,0,2,98,0.012181307688414125,100
420,0,9,1,-80,2,0,2,98,0.012120401149972055,100
421,0,8,3,-10,9,0,1,99,0.012059799144222194,100
422,0,6,5,-40,6,0,2,98,0.011999500148501083,100
423,0,8,3,-70,3,0,0,100,0.011939502647758577,100
424,0,7,4,0,10,0,2,98,0.011879805134519784,100
425,0,9,1,-70,3,0,1,99,0.011820406108847185,100
426,0,1,6,-80,2,0,2,98,0.01176130407830295,100
427,0,6,2,-70,3,0,4,96,0.011702497557911435,100
428,0,4,7,-50,5,0,1,99,0.011643985070121878,100
429,0,7,9,-60,4,0,2,98,0.01158576514477127,100
430,0,6,3,-50,5,0,3,97,0.011527836319047413,100
431,0,1,4,-30,7,0,0,100,0.011470197137452176,100
432,0,8,7,-60,4,0,1,99,0.011412846151764916,100
433,0,7,9,-70,3,0,0,100,0.011355781921006091,100
434,0,8,1,-70,3,0,2,98,0.01129900301140106,100
435,0,7,5,-70,3,0,1,99,0.011242507996344055,100
436,0,9,7,-60,4,0,1,99,0.011186295456362334,100
437,0,0,5,-40,6,0,1,99,0.011130363979080522,100
438,0,3,4,-60,4,0,0,100,0.01107471215918512,100
439,0,1,4,-80,2,0,1,99,0.011019338598389194,100
440,0,1,6,-60,4,0,0,100,0.010964241905397248,100
441,0,9,2,-60,4,0,2,98,0.010909420695870262,100
442,0,3,6,-60,4,0,1,99,0.01085487359239091,100
443,0,5,0,-40,6,0,0,100,0.010800599224428956,100
444,0,8,1,-80,2,0,1,99,0.010746596228306812,100
445,0,3,6,-70,3,0,0,100,0.010692863247165278,100
446,0,2,4,-50,5,0,0,100,0.010639398930929451,100
447,0,0,9,-70,3,0,1,99,0.010586201936274804,100
448,0,3,6,-60,4,0,1,99,0.01053327092659343,100
449,0,2,0,-70,3,0,2,98,0.010480604571960463,100
450,0,6,8,-40,6,0,2,98,0.01042820154910066,100
451,0,2,7,-20,8,0,3,97,0.010376060541355158,100
452,0,1,4,-60,4,0,2,98,0.010324180238648383,100
453,0,8,6,-70,3,0,1,99,0.01027255933745514,100
454,0,7,7,-20,8,0,0,100,0.010221196540767865,100
455,0,2,5,-40,6,0,0,100,0.010170090558064025,100
456,0,2,7,-80,2,0,0,100,0.010119240105273705,100
457,0,2,8,-70,3,0,1,99,0.010068643904747336,100
458,0,0,3,-60,4,0,0,100,0.0100183006852236,100
459,0,1,3,-60,4,0,1,99,0.01,100
460,0,7,8,-70,3,0,0,100,0.01,100
461,0,2,8,-90,1,0,0,100,0.01,100
