episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
73,1,7,9,-30,7,0,6,94,0.06900935609921612
73,2,4,5,-15,9,1,9,91,0.06900935609921612
74,0,3,2,-50,5,0,10,90,0.06866430931872003
74,1,3,5,-70,3,2,7,93,0.06866430931872003
74,2,2,5,-60,5,2,6,94,0.06866430931872003
75,0,5,2,-40,6,0,7,93,0.06832098777212643
75,1,4,5,-90,1,1,7,93,0.06832098777212643
75,2,6,4,-75,3,1,3,97,0.06832098777212643
76,0,7,9,-30,7,1,6,94,0.0679793828332658
76,1,5,6,-40,6,2,6,94,0.0679793828332658
76,2,8,4,-35,8,3,5,95,0.0679793828332658
77,0,7,1,-40,6,2,12,88,0.06763948591909946
77,1,9,5,-70,4,2,6,94,0.06763948591909946
77,2,2,8,-90,1,0,10,90,0.06763948591909946
78,0,9,7,-60,4,0,1,99,0.06730128848950397
78,1,3,1,-30,7,1,5,95,0.06730128848950397
78,2,1,2,-55,5,1,6,94,0.06730128848950397
79,0,5,1,-20,8,0,4,96,0.06696478204705644
79,1,4,1,-50,5,0,5,95,0.06696478204705644
79,2,1,3,-60,4,0,8,92,0.06696478204705644
80,0,5,3,-70,3,0,2,98,0.06662995813682115
80,1,1,1,-60,4,0,3,97,0.06662995813682115
80,2,3,9,-30,7,0,7,93,0.06662995813682115
81,0,7,1,-50,5,1,4,96,0.06629680834613705
81,1,0,3,-70,3,1,6,94,0.06629680834613705
81,2,0,8,-90,2,2,7,93,0.06629680834613705
82,0,1,0,-20,8,0,2,98,0.06596532430440637
82,1,7,3,-40,6,1,6,94,0.06596532430440637
82,2,2,3,-65,4,1,5,95,0.06596532430440637
83,0,5,2,-60,4,2,10,90,0.06563549768288433
83,1,0,9,-30,7,0,3,97,0.06563549768288433
83,2,6,3,-90,2,2,8,92,0.06563549768288433
84,0,8,2,-70,3,0,6,94,0.06530732019446991
84,1,4,6,-60,4,0,6,94,0.06530732019446991
84,2,3,8,-50,5,0,11,89,0.06530732019446991
85,0,9,4,-10,9,2,10,90,0.06498078359349757
85,1,7,3,-90,2,2,4,96,0.06498078359349757
85,2,0,2,-50,5,0,7,93,0.06498078359349757
86,0,8,7,-40,6,1,6,94,0.06465587967553008
86,1,3,2,-60,4,4,8,92,0.06465587967553008
86,2,0,0,-95,3,5,9,91,0.06465587967553008
87,0,3,0,-40,6,5,5,95,0.06433260027715243
87,1,4,1,-65,4,2,11,89,0.06433260027715243
87,2,6,3,-105,2,5,6,94,0.06433260027715243
88,0,1,2,-50,5,0,8,92,0.06401093727576666
88,1,3,0,-60,4,4,3,97,0.06401093727576666
88,2,0,7,-110,1,4,6,94,0.06401093727576666
89,0,2,7,-30,7,1,5,95,0.06369088258938783
89,1,3,3,-80,2,0,7,93,0.06369088258938783
89,2,1,5,-75,3,1,8,92,0.06369088258938783
90,0,1,4,-70,3,5,5,95,0.0633724281764409
90,1,2,7,-115,1,8,6,94,0.0633724281764409
90,2,7,5,-95,2,3,7,93,0.0633724281764409
91,0,4,4,-60,4,2,9,91,0.06305556603555869
